title,pub_type,date_issued,authors,doi,publisher,abstract_en,abstract_de,pdf_paths,pdf_count,openalex_id,concepts,cited_by_count,referenced_works_count,concepts_norm
Fix Spectre in Hardware! Why and How,Inproceedings,2025-01,"Ertl, Martin",,,"Spectre can be fixed in hardware by treating speculative microarchitectural state in the same way as speculative architectural state: On mis-speculation throw away all the speculatively-performed changes. The resource-contention side channel needs to be closed, too. This position paper also explains how Spectre works, why software mitigations are not sufficient.",,pdfs/Fix_Spectre_in_Hardware_Why_and_How.pdf;pdfs/Fix_Spectre_in_Hardware_Why_and_How_2.pdf,2,,[],,,[]
How to Implement Words (Efficiently),Inproceedings,2025,"Ertl, M. Anton",,,"The implementation of Forth words has to satisfy the following requirements: 1) A word must be represented by a single cell (for execute). 2) A word may represent a combination of code and data (for, e.g., does>). In addition, on some hardware, keeping executed native code and (written) data close together results in slowness and therefore should be avoided; moreover, failing to pair up calls with returns results in (slow) branch mispredictions. The present work describes how various Forth systems over the decades have satisfied the requirements, and how many systems run into performance pitfalls in various situations. This paper also discusses how to avoid this slowness, including in native-code systems.",,pdfs/How_to_Implement_Words_Efficiently.pdf;pdfs/How_to_Implement_Words_Efficiently_2.pdf,2,,[],,,[]
Splitting Stump Forests: Tree Ensemble Compression for Edge Devices,Inproceedings,28/01/2025,"Alkhoury, Fouad,Welke, Pascal",10.1007/978-3-031-78980-9_1,Springer Nature,We introduce Splitting Stump Forests small ensembles of weak learners extracted from a trained random forest. The high memory consumption of random forest ensemble models renders them unfit for resource-constrained devices. We show empirically that we can significantly reduce the model size and inference time by selecting nodes that evenly split the arriving training data and applying a linear model on the resulting representation. Our extensive empirical evaluation indicates that Splitting Stump Forests outperform random forests and state-of-the-art compression methods on memory-limited embedded devices.,,pdfs/Splitting_Stump_Forests_Tree_Ensemble_Compression_for_Edge_Devices.pdf,1,https://openalex.org/W4406843754,"['Computer science', 'Enhanced Data Rates for GSM Evolution', 'Tree (set theory)', 'Compression (physics)', 'Artificial intelligence', 'Mathematics', 'Combinatorics', 'Materials science', 'Composite material']",2,35,['artificial intelligence; combinatorics; composite material; compression (physics); computer science; enhanced data rates for gsm evolution; materials science; mathematics; tree (set theory)']
Enhancing Industrial Cybersecurity: Insights from Analyzing Threat Groups and Strategies in Operational Technology Environments,Article,2025,"Bhole, Mukund,Sauter, Thilo,Kastner, Wolfgang",10.1109/ojies.2025.3527585,,"In recent years, concepts and components of Information Technology (IT) have made their way into the shop floor, today better known as Operational Technology (OT). The increasing interconnection and convergence of IT and OT have exposed industrial infrastructures to cyber attacks. In addition, they have become vulnerable to Advanced Persistent Threats (APTs). This article examines real-world incidents, looking at the complex landscape of threat groups targeting OT environments and the Tactic, Technique, and Procedures (TTPs) employed by these threat groups. Consequently, it highlights the need for increased vigilance in protecting OT environments, which can be done by using a variety of open-source threat intelligence platforms and databases, including ThaiCERT, Malpedia, MITRE ATT&CK, and ICS-CERT. We aim to provide relevant stakeholders (manufacturers, asset owners and system integrators), including Chief Information Security Officers (CISOs), with information on emerging threat groups, attack victims and their locations, the origins of attacks, the tools and types of tools used, and the motivations behind these attacks. This understanding is crucial to improving defensive strategies based on relevant standards and frameworks and protecting OT environments against evolving cyber threats.",,pdfs/Enhancing_Industrial_Cybersecurity_Insights_from_Analyzing_Threat_Groups_and_Strategies_in_Operational_Technology_Environments.pdf,1,https://openalex.org/W4406170875,"['Computer security', 'Business', 'Computer science', 'Internet privacy']",6,34,['business; computer science; computer security; internet privacy']
Simple Linear Loops: Algebraic Invariants and Applications,Inproceedings,2025,"Ait El Manssour, Rida,Kenison, George,Shirmohammadi, Mahsa,Varonka, Anton",10.1145/3704862,Association for Computing Machinery,"The automatic generation of loop invariants is a fundamental challenge in software verification. While this task is undecidable in general, it is decidable for certain restricted classes of programs. This work focuses on invariant generation for (branching-free) loops with a single linear update. Our primary contribution is a polynomial-space algorithm that computes the strongest algebraic invariant for simple linear loops, generating all polynomial equations that hold among program variables across all reachable states. The key to achieving our complexity bounds lies in mitigating the blow-up associated with variable elimination and Gr bner basis computation, as seen in prior works. Our procedure runs in polynomial time when the number of program variables is fixed. We examine various applications of our results on invariant generation, focusing on invariant verification and loop synthesis. The invariant verification problem investigates whether a polynomial ideal defining an algebraic set serves as an invariant for a given linear loop. We show that this problem is coNP-complete and lies in PSPACE when the input ideal is given in dense or sparse representations, respectively. In the context of loop synthesis, we aim to construct a loop with an infinite set of reachable states that upholds a specified algebraic property as an invariant. The strong synthesis variant of this problem requires the construction of loops for which the given property is the strongest invariant. In terms of hardness, synthesising loops over integers (or rationals) is as hard as Hilbert's Tenth problem (or its analogue over the rationals). When the constants of the output are constrained to bit-bounded rational numbers, we demonstrate that loop synthesis and its strong variant are both decidable in PSPACE, and in NP when the number of program variables is fixed.",,pdfs/Simple_Linear_Loops_Algebraic_Invariants_and_Applications.pdf,1,https://openalex.org/W4406221863,"['Simple (philosophy)', 'Algebraic number', 'Mathematics', 'Algebra over a field', 'Computer science', 'Calculus (dental)', 'Pure mathematics', 'Mathematical analysis', 'Epistemology', 'Philosophy', 'Dentistry', 'Medicine']",0,53,['algebra over a field; algebraic number; calculus (dental); computer science; dentistry; epistemology; mathematical analysis; mathematics; medicine; philosophy; pure mathematics; simple (philosophy)']
Why to Fail Fast and Often: A Strategy for OT Safety and Security Evaluation,Article,20/03/2025,"Bhole, Mukund,Sauter, Thilo,Semper, Sabrina,Kastner, Wolfgang",10.1109/access.2025.3553011,,"As the Operational Technology (OT) environment becomes increasingly interconnected and integrates diverse technologies, traditional models often struggle to accurately represent the complex interactions and dependencies of the underlying systems. Factors like changes in operational conditions, software updates, and the introduction of new devices can significantly impact the system s risk profile. This paper presents a methodology to bridge the gap between manual and automated safety and security requirements in Industry 4.0 OT environments. First, a meta-model is developed to capture OT infrastructure components and relationships. This is then transformed into a C#-based GUI, enabling tasks like network scanning, application and interface identification, and AI-powered data extraction. Next, compliance checks and risk assessments are conducted using standards such as IEC 62443-3-3 and methods like LOPA, SEFR (HAZID), STRIDE, and DREAD. Finally, the data is converted into system models (e.g., OWL, AutomationML) for visualization. This approach reduces complexity and time by 83.72%, though it faces challenges like platform dependency and resource constraints.",,pdfs/Why_to_Fail_Fast_and_Often_A_Strategy_for_OT_Safety_and_Security_Evaluation.pdf,1,https://openalex.org/W4408716139,"['Computer science', 'Computer security', 'Risk analysis (engineering)', 'Business']",1,72,['business; computer science; computer security; risk analysis (engineering)']
Self-Adaptive Intelligent Deployment of Message Brokers: An Empirical Study on IoT Performance,Inproceedings,2025,"Amiri, Amirali,Nastic, Stefan,Javadi, Bahman,Kastner, Wolfgang",10.1109/icm62621.2025.10934882,,"The Internet of Things (IoT) encompasses diverse characteristics, such as varying load frequencies and performance requirements. Designing static IoT systems to cover such varying loads is challenging. Self-adaptive systems, enhanced by artificial intelligence, can offer better performance by responding dynamically to changing conditions. Empirical research is essential to validate such systems. In this paper, we contribute by designing experiments to assess the performance of multiple IoT architectures under various load frequencies. Using the empirical data collected, we train an artificial neural network to predict response times for untested frequencies, identifying optimal scenarios for self-adaptive architecture transitions. We present a dataset of 2,641,008 points regarding the response times of requests for several industrial IoT deployment architectures. We perform an extensive systematic evaluation of 4,374 cases indicating 29.6% improvements in terms of reducing mean response times. Additionally, we provide prototypical tool support for practical implementations and to make our approach easy-to-use.",,pdfs/Self-Adaptive_Intelligent_Deployment_of_Message_Brokers_An_Empirical_Study_on_IoT_Performance.pdf,1,https://openalex.org/W4408860319,"['Software deployment', 'Computer science', 'Internet of Things', 'Empirical research', 'Computer security', 'Software engineering', 'Epistemology', 'Philosophy']",0,23,['computer science; computer security; empirical research; epistemology; internet of things; philosophy; software deployment; software engineering']
Automated Prioritization for Context-Aware Re-rendering in Editing,Article,2025,"Ulschmid, Annalena,Kr sl, Katharina,Wimmer, Michael,Kerbl, Bernhard",10.1007/s42979-025-03863-z,,"Real-time Monte Carlo path tracing has become a feasible option for interactive 3D scene editing due to recent advancements in GPU ray tracing performance, as well as (AI-accelerated) denoising techniques. While it is thus gaining increasing support in popular modeling software, even minor edits such as adjusting materials or moving small objects typically require current solutions to discard previous samples and restart the image formation process from scratch. A recent solution introduced two adaptive, priority-based re-rendering techniques implementing incremental updates while focusing first on reconstructing regions of high importance and gradually addressing less critical areas. An extensive user study compared these prioritized renderings with conventional same-time re-rendering to evaluate their effectiveness for interactive scene editing. Results indicate a significant preference for incremental rendering techniques for editing small objects over traditional full-screen re-rendering with denoising, even with basic priority policies. Building upon these results, we revisit the underlying design choices and derive more sophisticated priority policies that respect global illumination effects (shadows and reflections) as well as employing attention-based techniques (based either on eye tracking to prioritize areas in the user s gaze or, alternatively, using the cursor position).",,pdfs/Automated_Prioritization_for_Context-Aware_Re-rendering_in_Editing.pdf,1,https://openalex.org/W4409189894,"['Prioritization', 'Rendering (computer graphics)', 'Computer science', 'Context (archaeology)', 'Computer graphics (images)', 'History', 'Archaeology', 'Engineering', 'Process management']",0,25,['archaeology; computer graphics (images); computer science; context (archaeology); engineering; history; prioritization; process management; rendering (computer graphics)']
A scalable and secure transaction attachment algorithm for DAG-based blockchain,Article,01/05/2025,"Guo, Fengyang,Hecker, Artur,Dustdar, Schahram",10.1109/jiot.2024.3521680,,"Blockchain as an innovative distributed ledger technology, has attracted considerable attention in recent years from both academic circles and industry sectors. Its applications span a diverse range of domains, including finance and the Internet of Things (IoT). However, the scalability of blockchain technology is still a critical limitation with the increasing volume of data. To address this limitation, directed acyclic graph (DAG) data structure has been proposed to improve scalability by supporting asynchronous process of transactions. IOTA is a wellknown DAG-based blockchain that theoretically offers faster confirmation speeds with an increasing number of transactions. However, in practice, IOTA still faces the challenge of balancing scalability and security. In this paper, we propose a scalable and secure transaction attachment algorithm for the DAG-based blockchain IOTA. We determine two critical parameters through our experimental analysis: one for calculating the selection probability and the other for setting the threshold for abnormal transactions. Firstly, we calculate the selection probability of unconfirmed transactions. Then, we select abnormal transactions whose selection probability falls below the predefined threshold to maintain the security. Finally, new transactions attach randomly to former transactions with a time computational complexity O(n), ensuring the scalability. Through experiments comparing the proposed algorithm to the current transaction attaching algorithm, we demonstrate the scalability and security of our proposed algorithm.",,pdfs/A_scalable_and_secure_transaction_attachment_algorithm_for_DAG-based_blockchain.pdf,1,https://openalex.org/W4405718504,"['Blockchain', 'Computer science', 'Scalability', 'Database transaction', 'Distributed computing', 'Transaction processing', 'Algorithm', 'Algorithm design', 'Theoretical computer science', 'Computer network', 'Parallel computing', 'Computer security', 'Database']",1,30,['algorithm; algorithm design; blockchain; computer network; computer science; computer security; database; database transaction; distributed computing; parallel computing; scalability; theoretical computer science; transaction processing']
Supply chain optimization using model-based systems engineering and the internet of things,Article,2025,"Amiri, Amirali,Nastic, Stefan,Kastner, Wolfgang",10.1007/s00502-025-01321-5,,"Supply-Chain Management (SCM) is crucial for business operations, requiring careful planning and optimization to minimize product costs. New technologies like the Internet of Things (IoT) enable real-time monitoring of supply chain performance, helping detect malfunctions and adapt strategies to address issues like rising costs. However, IoT system architects face challenges in mastering diverse technologies and integrating them into SCM. Methodologies like Model-Based Systems Engineering (MBSE) simplify the design process by providing system models and views. In this paper, we propose an MBSE approach for IoT-driven supply chain optimization. Our approach automatically performs optimization based on IoT monitoring data. We illustrate how system designers can adapt our approach to their specific needs. For example, system designers can provide templates for the artifact generation, such as system code or input files for the optimization. We discuss multiple scenarios showcasing the benefits of our approach.","Das Supply Chain Management (SCM) ist entscheidend f r den Gesch ftsbetrieb und erfordert eine sorgf ltige Planung und Optimierung, um Produktkosten zu minimieren. Neue Technologien wie das Internet der Dinge (IoT) erm glichen eine Echtzeit berwachung der Lieferkettenleistung, wodurch Fehlfunktionen erkannt und Strategien zur Bew ltigung steigender Kosten angepasst werden k nnen. Allerdings stehen IoT-Systemarchitekt:innen vor der Herausforderung, verschiedene Technologien zu beherrschen und sie in das SCM zu integrieren. Methoden wie Model-Based Systems Engineering (MBSE) vereinfachen den Designprozess, indem sie Systemmodelle und -ansichten bereitstellen. In dieser Arbeit schlagen wir einen MBSE-Ansatz zur IoT-gest tzten Optimierung von Lieferketten vor. Unser Ansatz f hrt automatisch eine Optimierung basierend auf IoT- berwachungsdaten durch. Wir zeigen, wie Systementwickler:innen unseren Ansatz an ihre spezifischen Anforderungen anpassen k nnen, beispielsweise durch die Bereitstellung von Vorlagen f r die Artefakterstellung wie Systemcode oder Eingabedateien f r die Optimierung. Wir diskutieren verschiedene Szenarien, die die Vorteile unseres Ansatzes veranschaulichen.",pdfs/Supply_chain_optimization_using_model-based_systems_engineering_and_the_internet_of_things.pdf,1,https://openalex.org/W4409923668,"['Internet of Things', 'Chain (unit)', 'Computer science', 'Supply chain optimization', 'Supply chain', 'Supply chain management', 'Business', 'Computer security', 'Marketing', 'Astronomy', 'Physics']",0,14,['astronomy; business; chain (unit); computer science; computer security; internet of things; marketing; physics; supply chain; supply chain management; supply chain optimization']
Found Footage from the Nuclear Protection National Parks,Inproceedings,2025,"Kender, Kay,Osipova, Ekat",10.1145/3706599.3716211,,"1. We are destroying nature. 2. We do not know where to store our radioactive waste. 3. In Chernobyl, wildlife seems to be thriving. We have connected these three considerations in a Found Footage design fiction exploring a near-future of an Austria that has put its hope for an ecologically just and sustainable future into nuclear waste disposal sites turned national parks protected by radiation. This report displays artefacts from the ongoing project and discusses our design process, insights and learnings around Found Footage as a design fiction method to pose critical questions about the emotional factors of technology futures.",,pdfs/Found_Footage_from_the_Nuclear_Protection_National_Parks.pdf,1,https://openalex.org/W4409719996,"['Computer science', 'Environmental science', 'Computer security', 'Business']",0,24,['business; computer science; computer security; environmental science']
Sexy and We Know It: Exploring Sexistemologies for HCI,Inproceedings,25/04/2025,"Osipova, Ekat,Kender, Kay,Spiel, Katta",10.1145/3706599.3716228,,"Our (Western) culture is one of sex exceptionalism sex is constructed as dangerous and taboo on the one hand, and as compulsory and irresistible on the other. This portrayal of sex taints technology design and HCI research in ways that disproportionately harm marginalized groups. But what if we approached sex as simply a lens like any other? Building on previous HCI explorations in this space, we propose sex as a method for critical inquiry, and a means to highlight marginalized knowledges. To delve into the sexistemological potentials of this approach, we conducted two design projects. Based on our insights, we discuss how sex as method could look like, how it can facilitate novel insights about intersecting areas of life, and what ethical considerations this method entails.",,pdfs/Sexy_and_We_Know_It_Exploring_Sexistemologies_for_HCI.pdf,1,https://openalex.org/W4409720171,"['Computer science', 'Human–computer interaction', 'Internet privacy', 'World Wide Web', 'Multimedia']",1,76,['computer science; human–computer interaction; internet privacy; multimedia; world wide web']
Automated Reasoning,Presentation,2025-06,"Kovacs, Laura",,,"Certified computer systems are becoming the key in the increasingly complex decision making activities of our modern society. Among others, error-free and secure solutions are indispensable within AI, Autonomous Systems, Big Data, Blockchain, Decentralized Finance (DeFi), or Cloud Computing. While the explosion in applications of computer systems leads to great increases in productivity, wealth, and convenience, it creates a paradoxical situation: we rely on computer systems despite that uncountable many scenarios showcase that computer systems are not (properly) certified and hence are error-prone. The area of automated reasoning provides computer-aided solutions to prove that computer systems are error-free, just like we prove theorems in mathematics. However, who can tell software developers which automated reasoning solutions should be used? Moreover, which reasoning method is best to be used during code review, for ensuring system safety and security? This talk will reflect on some challenges of automated reasoning and focus on concrete applications of system verification security. We will highlight aspects of open-source code development, allowing others to easily use our solutions in their technologies without the need of becoming experts in automated reasoning.","Zertifizierte Computersysteme werden zunehmend zum Schl ssel f r die immer komplexeren Entscheidungsprozesse in unserer modernen Gesellschaft. Fehlerfreie und sichere L sungen sind unter anderem in Bereichen wie K nstlicher Intelligenz (KI), autonomen Systemen, Big Data, Blockchain, Dezentraler Finanzen (DeFi) oder Cloud Computing unverzichtbar. W hrend die explosionsartige Zunahme an Anwendungen von Computersystemen zu enormen Steigerungen von Produktivit t, Wohlstand und Komfort f hrt, entsteht eine paradoxe Situation: Wir verlassen uns auf Computersysteme, obwohl unz hlige Szenarien zeigen, dass diese Systeme nicht (ausreichend) zertifiziert sind und daher fehleranf llig sein k nnen. Das Gebiet des Automated Reasoning bietet computergest tzte L sungen, um zu beweisen, dass Computersysteme fehlerfrei sind  hnlich wie man mathematische Theoreme beweist. Doch wer sagt Softwareentwickler:innen, welche automatisierten Beweismethoden eingesetzt werden sollten? Und welche Methode eignet sich am besten f r Code Reviews, um die Sicherheit und Zuverl ssigkeit eines Systems zu gew hrleisten? Dieser Vortrag beleuchtet einige Herausforderungen des automatisierten Schlie ens und konzentriert sich auf konkrete Anwendungsbeispiele der Systemverifikation. Dabei werden Aspekte der Open-Source-Softwareentwicklung hervorgehoben, die es erm glichen, unsere L sungen unkompliziert in andere Technologien zu integrieren  ohne dass Nutzer:innen selbst Expert:innen im Bereich des Automated Resaoning sein m ssen.",pdfs/Automated_Reasoning.pdf,1,,[],,,[]
Participatory Design of Visual Analytics Tools for Different Target Groups,Article,19/05/2025,"Vuckovic, Milena,Wolosiuk, Dawid,Schmidt, Johanna",10.24138/jcomss-2025-0009,,"This paper reflects on the software engineering process behind the development of data visualization and analytics technologies tailored to the needs of diverse user groups. These considerations, introduced in our earlier work, are briefly revisited here. We focused on two use cases: one tailored to the needs and preferences of practitioners (data analysts), and the other directed towards meeting the requirements of nonprofessional, volunteer-based participants engaged in participatory citizen science. In both scenarios, we employed participatory methods, actively involving the target users in conceptualization and implementation phases. We observed diverse requirements and preferences concerning data visualization choices, additional functionalities, and analytical measures. To assess the effectiveness of these tools, in the current paper, we conducted a taskbased evaluation with selected participants, asking them to perform specific tasks such as identifying faults in the data, patterns, or detecting outliers. This was supplemented with qualitative feedback gathered through interviews and surveys, providing insights into user satisfaction, perceived challenges, and suggestions for improvement. The evaluation process revealed several areas for improvement from non-practitioners, particularly in the visual clarity of visualizations and the explanations regarding their usage, while practitioners responded more positively, noting no critical issues in software design and function.",,pdfs/Participatory_Design_of_Visual_Analytics_Tools_for_Different_Target_Groups.pdf,1,https://openalex.org/W4410790623,"['Computer science', 'Visual analytics', 'Analytics', 'Participatory design', 'Human–computer interaction', 'Citizen journalism', 'Data science', 'Visualization', 'Artificial intelligence', 'World Wide Web', 'Engineering', 'Parallels', 'Mechanical engineering']",0,15,['analytics; artificial intelligence; citizen journalism; computer science; data science; engineering; human–computer interaction; mechanical engineering; parallels; participatory design; visual analytics; visualization; world wide web']
Configuring Participatory Research as Give and Take Relationships: Methodological Reflections on Co-Designing Booklets with a Men Shed,Inproceedings,25/04/2025,"Meissner, Janis Lena",10.1145/3706598.3713106,,"Researchers ask a lot from their study participants: data, time, attention, ideas, and (almost) anything that helps them to pursue their research goals. But what do they give back? This question becomes especially critical in longer-term participatory research with low-resourced communities. This paper offers methodological reflections on a collaboration with a Men s Shed that was tailored around both my research agenda and the interests of my community partner. As part of my research, we designed a booklet that eventually became their promotion brochure. By reviewing both the trouble and the gains of this process for both partners, I argue for re-imagining community-based participatory research as an opportunity for fostering give-and-take relationships with participants. The case demonstrates the method s capacity to critically extend existing HCI work on Men s Sheds while also making participation worthwhile for my partners. The careful documentation of this process contributes methodological nuance to discussions around configuring participation.",,pdfs/Configuring_Participatory_Research_as_Give_and_Take_Relationships_Methodological_Reflections_on_Co-Designing_Booklets_with_a_Men_Shed.pdf,1,https://openalex.org/W4409750151,"['Citizen journalism', 'Participatory design', 'Participatory action research', 'Sociology', 'Computer science', 'Knowledge management', 'Public relations', 'Psychology', 'Engineering', 'World Wide Web', 'Political science', 'Operations management', 'Anthropology', 'Parallels']",1,65,['anthropology; citizen journalism; computer science; engineering; knowledge management; operations management; parallels; participatory action research; participatory design; political science; psychology; public relations; sociology; world wide web']
Faithful dynamic timing analysis of digital circuits using continuous thresholded mode-switched ODEs,Article,2025-05,"Ferdowsi, Arman,F gger, Matthias,Nowak, Thomas,Schmid, Ulrich,Drmota, Michael",10.1016/j.nahs.2024.101572,,"Thresholded hybrid systems are restricted dynamical systems, where the current mode, and hence the ODE system describing its behavior, is solely determined by externally supplied digital input signals and where the only output signals are digital ones generated by comparing an internal state variable to a threshold value. An attractive feature of such systems is easy composition, which is facilitated by their purely digital interface. A particularly promising application domain of thresholded hybrid systems is digital integrated circuits: Modern digital circuit design considers them as a composition of Millions and even Billions of elementary logic gates, like inverters, OR and AND. Since every such logic gate is eventually implemented as an electronic circuit, however, which exhibits a behavior that is governed by some ODE system, thresholded hybrid systems are ideally suited for making the transition from the analog to the digital world rigorous. In this paper, we prove that the mapping from digital input signals to digital output signals is continuous for a large class of thresholded hybrid systems. Moreover, we show that, under some mild conditions regarding causality, this continuity also continues to hold for arbitrary compositions, which in turn guarantees that the composition faithfully captures the analog reality. By applying our generic results to some recently developed thresholded hybrid gate models, both for single-input single-output gates like inverters and for a two-input CMOS NOR gate, we show that they are continuous. Moreover, we provide a novel thresholded hybrid model for the two-input NOR gate, which is not only continuous but also, unlike the existing one, faithfully models all multi-input switching effects.",,pdfs/Faithful_dynamic_timing_analysis_of_digital_circuits_using_continuous_thresholded_mode-switched_ODEs.pdf,1,https://openalex.org/W4406084571,"['Ode', 'Computer science', 'Mode (computer interface)', 'Electronic circuit', 'Mathematics', 'Electrical engineering', 'Engineering', 'Applied mathematics', 'Operating system']",2,36,['applied mathematics; computer science; electrical engineering; electronic circuit; engineering; mathematics; mode (computer interface); ode; operating system']
SynTemp: Efficient Extraction of Graph-Based Reaction Rules from Large-Scale Reaction Databases,Article,2025,"Phan, Tieu-Long,Weinbauer, Klaus,Gonz lez Laffitte, Marcos Emmanuel,Pan, Yingjie,Merkle, Daniel,Andersen, Jakob,Fagerberg, Rolf,Flamm, Christoph,Stadler, Peter F.",10.1021/acs.jcim.4c01795,,"Reaction templates are graphs that represent the reaction center as well as the surrounding context in order to specify salient features of chemical reactions. They are subgraphs of imaginary transition states, which are equivalent to double pushout graph rewriting rules and thus can be applied directly to predict reaction outcomes at the structural formula level. We introduce here SynTemp, a framework designed to extract and hierarchically cluster reaction templates from large-scale reaction data repositories. Rule inference is implemented as a robust graph-theoretic approach, which first computes an atom atom mapping (AAM) as a consensus over partial predictions from multiple state-of-the-art tools and then augments the raw AAM by mechanistically relevant hydrogen atoms and extracts the reactions center extended by relevant context. SynTemp achieves an exceptional accuracy of 99.5% and a success rate of 71.23% in obtaining AAMs on the chemical reaction dataset. Hierarchical clustering of the extended reaction centers based on topological features results in a library of 311 transformation rules explaining 86% of the reaction dataset.",,pdfs/SynTemp_Efficient_Extraction_of_Graph-Based_Reaction_Rules_from_Large-Scale_Reaction_Databases.pdf,1,https://openalex.org/W4408055419,"['Computer science', 'Graph', 'Scale (ratio)', 'Database', 'Chemistry', 'Theoretical computer science', 'Physics', 'Quantum mechanics']",1,50,['chemistry; computer science; database; graph; physics; quantum mechanics; scale (ratio); theoretical computer science']
Managing equitable contagious disease testing: A mathematical model for resource optimization,Article,2025-09,"Ghasemi, Peiman,Ehmke, Jan Fabian,Bicher, Martin",10.1016/j.omega.2025.103305,,"All nations in the world were under tremendous economic and logistical strain as a result of the advent of COVID-19. Early in the epidemic, getting COVID-19 diagnostic tests was a significant difficulty. Furthermore, logistical challenges arose from the restricted transportation infrastructure and disruptions in international supply chains in the distribution of these testing kits. In the face of such obstacles, it is critical to give patients' needs top priority in order to provide fair access to testing. In order to manage contagious disease testing, this work proposes a bi-objective and multi-period mathematical model with an emphasis on mobile tester route plans and testing resource allocation. In order to optimize patient scores and reduce the likelihood of patients going untreated, the suggested team orienteering model takes into account issues like resource limitations, geographic clustering, and testing capacity limitations. To this aim, we present a comparison between quarantine and non-quarantine scenarios, introduce an equitable categorization based on disease backgrounds into standard and risky groups, and cluster geographical locations according to average age and contact rate. We use a Multi-Objective Variable Neighborhood Search (MOVNS) and a Non-Dominated Sorting Genetic Algorithm II (NSGA-II) to solve our problem. Due to the superiority of MOVNS, it is applied to a case study in Vienna, Austria. The results demonstrate that, over the course of several weeks, the average number of unserved risky patients in the prioritizing scenario is consistently lower than the usual number of patients. In the absence of prioritization, the average number of high-risk patients who remain untreated rises sharply and exceeds that of regular patients, though. Furthermore, it is clear that waiting times are greatly impacted by demand volume when comparing scenarios with and without quarantine.",,pdfs/Managing_equitable_contagious_disease_testing_A_mathematical_model_for_resource_optimization.pdf,1,https://openalex.org/W4407929695,"['Contagious disease', 'Resource (disambiguation)', 'Disease', 'Computer science', 'Medicine', 'Pathology', 'Computer network']",2,56,['computer network; computer science; contagious disease; disease; medicine; pathology; resource (disambiguation)']
Benchmarking Dynamic SLO Compliance in Distributed Computing Continuum Systems,Preprint,05/03/2025,"Lapkovskis, Alfreds,Sedlak, Boris,Magn sson, Sindri,Dustdar, Schahram,Donta, Praveen Kumar",10.48550/arxiv.2503.03274,,"Ensuring Service Level Objectives (SLOs) in large-scale architectures, such as Distributed Computing Continuum Systems (DCCS), is challenging due to their heterogeneous nature and varying service requirements across different devices and applications. Additionally, unpredictable workloads and resource limitations lead to fluctuating performance and violated SLOs. To improve SLO compliance in DCCS, one possibility is to apply machine learning; however, the design choices are often left to the developer. To that extent, we provide a benchmark of Active Inference -- an emerging method from neuroscience -- against three established reinforcement learning algorithms (Deep Q-Network, Advantage Actor-Critic, and Proximal Policy Optimization). We consider a realistic DCCS use case: an edge device running a video conferencing application alongside a WebSocket server streaming videos. Using one of the respective algorithms, we continuously monitor key performance metrics, such as latency and bandwidth usage, to dynamically adjust parameters -- including the number of streams, frame rate, and resolution -- to optimize service quality and user experience. To test algorithms' adaptability to constant system changes, we simulate dynamically changing SLOs and both instant and gradual data-shift scenarios, such as network bandwidth limitations and fluctuating device thermal states. Although the evaluated algorithms all showed advantages and limitations, our findings demonstrate that Active Inference is a promising approach for ensuring SLO compliance in DCCS, offering lower memory usage, stable CPU utilization, and fast convergence.",,pdfs/Benchmarking_Dynamic_SLO_Compliance_in_Distributed_Computing_Continuum_Systems.pdf,1,https://openalex.org/W7077141215,"['Computer science', 'Distributed computing', 'Adaptability', 'Benchmarking', 'Reboot', 'Latency (audio)', 'Quality of service', 'Server', 'Inference', 'Key (lock)', 'Computer network', 'Bandwidth (computing)', 'Bottleneck', 'Service-level agreement', 'Benchmark (surveying)', 'Reinforcement learning', 'Frame (networking)', 'Service quality', 'Quality of experience', 'Real-time computing', 'Edge computing', 'Computer multitasking', 'Low latency (capital markets)', 'Edge device', 'Client-side', 'Response time', 'Networking hardware', 'Cloud computing']",0,0,['adaptability; bandwidth (computing); benchmark (surveying); benchmarking; bottleneck; client-side; cloud computing; computer multitasking; computer network; computer science; distributed computing; edge computing; edge device; frame (networking); inference; key (lock); latency (audio); low latency (capital markets); networking hardware; quality of experience; quality of service; real-time computing; reboot; reinforcement learning; response time; server; service quality; service-level agreement']
